NORAD ID,Longitude,Compliance Grade
20253,123.31,F
22787,28.67,F
22988,-90.83,F
23467,171.96,B
23712,-119.46,F
25258,-97.99,F
25924,159.03,F
25967,-22.75,F
26388,89.22,F
26554,175.97,A
26580,-139.02,B
26715,-124.71,F
26824,-27.51,B
26880,-49.66,F
27168,19.0,B
27445,-94.86,F
27691,-130.12,F
27711,150.7,F
27718,147.55,D
27825,43.87,F
27854,-121.0,A
27954,-126.96,A
28117,75.49,F
28252,-111.08,B
28358,-1.0,A
28378,-111.14,B
28446,-105.08,A
28542,28.99,B
28628,143.47,A
28659,-118.99,C
28702,-88.99,A
28786,119.49,A
28868,-107.33,B
28899,63.84,F
28935,-110.17,C
28945,-30.0,B
28946,12.93,A
29045,132.06,A
29055,19.18,A
29155,61.24,F
29162,-113.02,D
29236,-98.99,A
29270,12.98,A
29272,128.02,B
29273,-5.21,F
29349,113.07,A
29494,-101.23,C
29495,152.0,B
29520,-38.96,A
29526,25.96,B
29643,-111.19,F
29644,-83.04,B
31102,-118.72,A
31306,19.19,A
31307,-85.0,B
31800,115.51,A
31862,-102.8,B
32018,-94.95,A
32019,109.84,B
32252,159.99,A
32253,-43.04,A
32258,6.01,F
32299,4.79,F
32388,-73.82,F
32404,98.56,B
32478,-1.17,F
32487,-0.77,B
32729,-99.2,B
32763,-92.84,F
32767,131.95,A
32768,-65.01,A
32794,-4.13,F
32951,-123.04,A
33051,92.22,A
33055,-17.88,A
33056,41.96,B
33153,-31.52,A
33154,25.98,B
33207,-110.01,C
33274,143.97,A
33275,-124.88,D
33278,-97.97,A
33373,-82.02,A
33376,-97.03,B
33436,19.13,B
33453,-128.83,F
33459,-7.13,F
33463,86.39,F
33595,-11.04,A
33749,-176.95,B
33750,33.05,A
34111,-37.57,F
34710,9.95,A
34713,57.51,F
34941,108.23,B
35362,91.49,B
35493,-86.13,A
35496,-110.98,F
35696,100.59,B
35756,155.98,A
35873,-72.72,F
35942,-61.05,D
35943,63.05,A
36032,57.03,A
36033,-0.87,B
36097,-45.02,A
36101,35.85,F
36106,85.18,F
36131,-102.72,B
36358,85.01,B
36395,-103.76,F
36397,-76.22,F
36499,-118.89,F
36516,-100.98,A
36581,23.45,B
36582,13.12,F
36592,25.95,B
36744,128.16,A
36745,30.44,A
36828,108.02,F
36830,-7.06,B
36831,2.84,C
36868,3.85,F
37207,109.87,B
37210,160.07,A
37218,-101.25,C
37238,66.04,A
37256,117.82,B
37258,8.93,A
37264,-30.07,A
37265,116.0,B
37384,109.35,F
37392,32.81,F
37393,52.49,A
37481,65.75,F
37602,-63.03,F
37605,55.08,A
37606,88.0,A
37677,110.51,A
37749,86.54,A
37763,103.81,F
37779,37.92,A
37804,-27.63,F
37809,-87.02,B
37810,20.0,A
37816,-7.29,F
37826,-77.01,C
37834,-179.97,A
37836,16.0,B
37843,-115.09,B
37933,105.47,B
37948,104.4,F
38014,42.51,A
38070,88.4,F
38087,-22.01,A
38093,-100.45,F
38098,72.07,A
38107,76.54,A
38245,47.57,A
38254,-94.22,B
38331,124.03,A
38332,131.86,A
38342,-91.14,C
38352,98.29,A
38356,166.05,B
38551,-107.11,F
38652,4.99,A
38740,68.53,A
38741,31.04,A
38749,-58.02,B
38778,28.19,B
38779,83.0,B
38867,-52.97,A
38978,-177.04,A
38991,-75.02,A
38992,21.62,F
39008,-61.48,C
39017,87.51,A
39020,70.49,A
39022,54.93,A
39034,52.8,F
39035,-114.82,A
39070,-174.35,F
39078,-61.05,D
39079,46.0,D
39120,-38.0,C
39122,-116.83,F
39127,-107.33,A
39157,97.9,B
39163,6.99,B
39168,-52.5,A
39172,-40.49,A
39206,-176.45,F
39216,82.07,A
39222,-135.19,F
39233,25.47,B
39234,73.93,A
39237,64.97,A
39256,-154.98,B
39285,28.52,F
39360,-116.15,B
39460,95.0,B
39476,62.62,F
39481,-87.22,A
39487,140.03,A
39498,73.96,A
39500,78.47,B
39504,-41.01,C
39508,74.96,F
39509,37.81,F
39522,41.98,A
39612,55.98,C
39613,139.86,F
39616,-74.03,D
39617,31.44,A
39635,55.73,F
39728,58.5,B
39773,3.08,A
40107,-3.91,F
40141,119.92,A
40146,156.0,B
40147,91.56,B
40258,-18.07,F
40267,140.67,A
40269,83.17,F
40271,-95.07,B
40272,-71.81,F
40277,52.99,A
40332,55.12,F
40333,-99.22,B
40345,89.95,B
40364,28.15,A
40374,-15.68,F
40384,-55.01,A
40424,-3.01,F
40425,-114.9,F
40505,40.0,B
40547,111.41,B
40613,-0.69,F
40617,52.05,B
40663,-102.87,B
40664,-78.79,F
40733,-70.01,B
40746,174.97,B
40874,-55.47,A
40875,-8.0,A
40880,82.51,D
40882,179.59,F
40887,75.49,F
40892,155.04,A
40895,-13.99,B
40940,140.24,F
40941,-80.99,B
40946,-113.12,F
40982,142.0,B
40984,49.99,B
41021,103.43,F
41028,93.55,A
41029,25.97,B
41034,128.49,A
41036,-15.02,F
41121,80.28,F
41191,36.06,C
41194,105.65,A
41238,51.48,C
41241,107.63,F
41310,9.0,B
41380,108.32,F
41382,-65.21,F
41384,32.53,A
41434,109.92,F
41469,129.63,F
41471,154.01,A
41552,78.52,B
41581,-95.03,B
41586,110.63,F
41588,74.72,F
41589,-116.98,D
41591,150.51,B
41592,-61.36,F
41622,-104.68,F
41729,126.74,F
41744,154.6,F
41747,68.48,B
41748,60.02,A
41752,73.89,F
41793,73.96,A
41794,144.82,F
41836,140.77,B
41866,-75.19,F
41869,177.02,F
41879,149.8,F
41882,104.59,F
41893,-97.1,F
41903,110.07,B
41904,-83.98,A
41911,66.45,B
41937,-96.84,C
41942,-35.99,A
41944,118.02,B
41945,-43.19,F
42070,-109.92,C
42075,-12.0,B
42432,-66.93,A
42662,110.5,B
42691,115.9,A
42692,-74.87,F
42695,97.32,A
42698,56.5,A
42709,-129.15,F
42740,-69.89,F
42741,171.99,A
42747,47.87,F
42749,10.22,F
42801,1.87,A
42814,39.01,A
42815,93.48,A
42818,-34.51,B
42907,45.01,A
42934,-61.02,D
42942,122.13,B
42950,-18.02,A
42951,109.87,A
42967,-104.98,A
42984,113.16,F
43039,-24.82,A
43162,139.0,B
43174,-20.13,F
43175,-47.5,D
43226,-104.73,F
43228,-30.05,A
43271,162.0,A
43272,-33.5,B
43286,51.55,F
43339,134.11,F
43432,128.08,A
43450,134.03,A
43463,119.11,D
43488,95.01,B
43539,94.85,F
43562,-63.03,F
43587,108.02,B
43611,138.01,F
43632,45.12,F
43633,169.0,A
43651,-67.73,F
43698,55.1,F
43700,25.81,A
43823,128.28,B
43824,74.08,A
43864,62.83,D
43867,70.0,A
43874,172.96,A
43920,130.02,B
44034,38.97,A
44035,47.89,F
44048,146.04,B
44067,130.46,F
44071,60.28,F
44186,30.44,A
44231,144.49,B
44307,49.03,A
44333,-100.87,C
44334,6.96,A
44337,111.33,F
44457,12.02,A
44475,31.23,A
44476,61.94,B
44479,16.98,A
44481,54.68,F
44624,-5.05,B
44625,-27.51,B
44637,83.52,D
44709,116.39,F
44800,35.51,A
44801,11.0,A
44868,149.99,A
44903,76.0,C
44978,107.58,B
45026,83.05,B
45027,7.2,D
45245,135.96,B
45246,128.24,B
45344,80.09,B
45465,137.25,F
45807,110.33,F
45863,134.05,B
45920,116.18,D
45985,96.51,B
45986,79.99,B
46112,109.89,B
46113,-1.0,B
46114,-125.03,B
46610,117.86,A
47202,90.77,A
47256,82.96,B
47306,30.93,A
47613,178.45,B
47851,146.48,F
48618,20.81,F
48808,133.36,F
48838,-85.22,B
49011,16.77,B
49055,-70.11,F
49056,47.71,F
49062,98.06,B
49115,-99.47,D
49125,101.44,B
49258,-9.96,F
49330,36.66,F
49332,-67.08,A
49333,45.52,A
49505,130.19,F
49817,-111.66,F
49818,74.04,F
50001,145.02,B
50002,103.02,B
50005,170.95,B
50212,42.04,B
50319,83.74,F
50321,157.55,F
50322,27.34,F
50574,137.22,D
51281,143.07,F
51287,177.04,F
51850,-137.01,B
52255,125.07,B
52817,-7.01,A
52903,83.11,F
52904,91.5,A
52933,-135.03,B
52940,119.32,D
53100,10.53,B
53355,-145.09,B
53765,2.69,D
53813,81.46,B
53960,-103.12,F
53961,-130.92,B
54026,-133.02,B
54027,-128.92,B
54033,23.0,F
54048,0.52,F
54225,12.99,B
54230,163.29,F
54243,-121.02,B
54244,-91.02,B
54259,1.54,D
54741,-93.1,B
54742,-89.03,B
54743,-3.36,C
55131,70.19,F
55138,-79.99,F
55180,21.32,F
55239,148.0,F
55263,-121.87,B
55506,165.77,C
55508,-58.98,D
55683,109.5,F
55686,125.12,F
55841,8.95,F
55912,146.79,D
55970,-103.09,B
55971,-134.93,B
56174,-91.01,B
56370,-88.86,F
56371,-162.99,D
56372,93.25,F
56757,-141.32,F
56759,129.59,B
