ssn_ref,notif_reason,source
AP30-30A/E,P,https://www.itu.int/en/ITU-R/space/plans/Documents/Seminar/recent/2008_08_AP30-30A.pdf
AP30-30A/F/C,P,https://www.itu.int/en/ITU-R/space/plans/Documents/Seminar/recent/2008_08_AP30-30A.pdf
AP30-30A/F/D,P,https://www.itu.int/en/ITU-R/space/plans/Documents/Seminar/recent/2008_08_AP30-30A.pdf
AP30/A,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AP30/B,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AP30/C,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
AP30/E,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
AP30A/A,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
AP30A/E,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
AP30B,P/Plan/List,ITU RR
AP30B/A6A,P/Plan/List,ITU RR
AP30B/A6B,P/Plan/List,ITU RR
AP30B/A7,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
API/A,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
API/B,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
API/C,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/catdescription/index.asp
APS30/E,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
APS30A/E,P,https://www.itu.int/en/ITU-R/space/snl/Documents/specialSection_e.pdf
APS30B,P/Plan/List,TBD; requested text for Appendix S30B
AR11/A,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AR11/B,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AR11/C,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AR11/D,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AR14/C,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
AR14/D,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
CHANGE OF ADM,n/a,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
CR/C,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
CR/D,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
CR/E,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
CR/F,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
PART I-S,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
PART I-S ADDENDUM,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
PART II-S,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
PART II-S ADDENDUM,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/catdescription/index.asp
PART III-S,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES SPA2-3-AA,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES SPA2-3-AI,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES SPA2-3-SEC A,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES148,N,ITU RR
RES33/A,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES33/B,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES33/C,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES33/D,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES33/G,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES4,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES42,N,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES46/A,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES46/B,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES46/C,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES46/D,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES49,U,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
RES552,U,ITU RR
SPA-AA,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
SPA-AI,A,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp
SPA-AJ,C,https://www.itu.int/net/ITU-R/space/snl/bsearchb/sgroup.asp