New Name,Old Name
INSAT-KA82.5E,INSAT-KA(82.5E)
INSAT-KA85.5E,INSAT-KA(85.5E)
INSAT-KA89E,INSAT-KA(89E)
INSAT-KA93.5E,INSAT-KA(93.5E)
INSAT-KA97.3E,INSAT-KA(97.3E)
INTELSAT IBS 304.5E,INTELSAT IBS 304E
INTELSAT IBS 304.5E,INTELSAT IBS 310E
INTELSAT IBS 342E,INTELSAT IBS 341.5E
INTELSAT KA 145E,INTELSAT8 304E
INTELSAT MCS 64.9E,INTELSAT MCS INDOC D
INTELSAT10 310E,NI-ALPHA 310E
INTELSAT10 359E,NI-ALPHA 359E
INTELSAT5 183E,INTELSAT5 PAC1
INTELSAT5 33E,INTELSAT5 CONT2
INTELSAT5 69E,INTELSAT5 INDOC3
INTELSAT5 72E,INTELSAT5 69E
INTELSAT5 PAC2,INTELSAT5 85E
INTELSAT5A 157E,INTELSAT5A INDOC1
INTELSAT5A 180E,INTELSAT5A PAC2
INTELSAT5A 304.5E,INTELSAT5A 304E
INTELSAT5A 330.5E,INTELSAT5A INDOC3
INTELSAT5A 342E,INTELSAT5A ATL4
INTELSAT6 335.5E,INTELSAT6 ATL1
INTELSAT7 307E_1,INTELSAT7 307E
INTELSAT7 328.5E,INTELSAT7 329E
INTELSAT8 174E,INTELSAT FOS 174E
INTELSAT8 177E,INTELSAT FOS 177E
INTELSAT8 180E,INTELSAT FOS 180E
INTELSAT8 183E,INTELSAT FOS 183E
INTELSAT8 319.5E,INTELSAT FOS 319.5E
INTELSAT8 325.5E,INTELSAT FOS 325.5E
INTELSAT8 328.5E,INTELSAT8 329E
INTELSAT8 338.5E,INTELSAT FOS 338.5E
INTELSAT8 342E,INTELSAT FOS 342E
INTELSAT8 57E,INTELSAT FOS 57E
INTELSAT8 66E,INTELSAT FOS 66E
INTELSAT9 174E,INTELSAT9 338.5E
INTELSAT9 33E,INTELSAT9 319.5E
INTERSPUTNIK-113W,INTERSPUTNIK-111.1W
INTERSPUTNIK-114.5EM,INTERSPUTNIK-114E-M
INTERSPUTNIK-164E,INTERSPUTNIK-165E
INTERSPUTNIK-26W,INTERSPUTNIK-24W
INTERSPUTNIK-52.5W,INTERSPUTNIK-55W
INTERSPUTNIK-62.5E,INTERSPUTNIK-58.5E
INTERSPUTNIK-67.4E,INTERSPUTNIK-64.2E
INTERSPUTNIK-87W,INTERSPUTNIK-85.2W
INTERSPUTNIK-97.8W,INTERSPUTNIK-99.7W
ISS-USOS-RPOD,ISS-ORION
ITALSAT 13.2E,ITALSAT
JMCS-72E,JMCS-68E
JMCS-82E,JMCS-80E
JMCS-93E,JMCS-92E
JMCS-93E,N-SAT-93E
KORBSAT-113E,KORBSAT-110E
KOREASAT 3-1,KOMPSAT-3-1
KOREASAT 5-1,KOMPSAT-5-1
KOREASAT 6-1,KOMPSAT-6-1
KOREASAT 7-1,KOMPSAT-7-1
KTSAT-11E,KTSAT-10E
KYPROS-APHRODITE-3,ONETEL-90E
LABSAT,BIO-NANOSATELITA
LB-SAT-133E,MCSAT-4E132
LH-SAT 151.5E,MCSAT-2 E156
LM-RPS-107.3W,LM-RPS-109W
LM-RPS-109W,LM-RPS-107.3W
LM-RPS-133W,LM-RPS-129W
LOGOHU-V-81E,LOGOHU-V-80E
LUX-G3-26-A,LUX-G3-26
LUX-G3-27-A,LUX-G3-27
LUX-G3-29-B,LUX-G3-29
LUX-G3-30-A,LUX-G3-30
LUX-G3-31-A,LUX-G3-31
LUX-G3-31-B,LUX-G3-31
LUX-G3-32-A,LUX-G3-32
LUX-G3-33-A,LUX-G3-33
MADAR-123W,MADAR-G1-125W
MADAR-124W,YAHSAT-G8-120W
MADAR-142E,YAHSAT-G8-140E
MADAR-142E-2,MADAR-G1-140E
MADAR-15E,MADAR-G1-15E
MADAR-160E,YAHSAT-G8-160E
MADAR-160E-2,MADAR-G1-160E
MADAR-166E,YAHSAT-G8-170E
MADAR-16W,YAHSAT-G10-15W
MADAR-18W,YAHSAT-G10-20W
MADAR-20W,YAHSAT-G10-25W
MADAR-20W-2,EMARSAT-12Z-M
MADAR-28W,YAHSAT-G7-30W
MADAR-28W-2,YAHSAT-G8-30W
MADAR-33.5E,MADAR-G1-35E
MADAR-33E-2,EMARSAT-12C
MADAR-43W,YAHSAT-G7-40W
MADAR-45W,YAHSAT-G9-45W
MADAR-46E,YAHSAT-G7-45E
MADAR-47.5E,YAHSAT-G7-47E
MADAR-47.5E-2,EMARSAT-12D
MADAR-5.5E,YAHSAT-G10-0E
MADAR-50.5E,YAHSAT-G7-50E
MADAR-50.5E-2,YAHSAT-G9-50E
MADAR-50W,YAHSAT-G8-50W
MADAR-52.5E,YAHSAT-G8-52.5E
MADAR-52.5E-2,EMARSAT-12G
MADAR-55E,MADAR-G1-55E
MADAR-57E,YAHSAT-G7-57E
MADAR-57E-2,YAHSAT-G10-57E
MADAR-57W,YAHSAT-G9-55W
MADAR-60E,YAHSAT-G8-60E
MADAR-60E-2,EMARSAT-12E
MADAR-63E,EMARSAT-12H
MADAR-70W,YAHSAT-G9-70W
MADAR-72.5E,YAHSAT-G8-70E
MADAR-72.5E-2,MADAR-G1-70E
MADAR-73W,YAHSAT-G10-73W
MADAR-81W,YAHSAT-G9-80W
MADAR-85E,YAHSAT-G10-85E
MADAR-91.5E,YAHSAT-G10-90E
MADAR-93W,MADAR-G1-90W
MADAR-95W,YAHSAT-G10-95W
MARECS ATL1,MARECS-D
MARECS ATL2,MARECS-A
MARECS ATL-5,MARECS ARL3
MARECS MED-1,MARECS IND1
MARECS PAC1,MARECS-B
MARISAT-CONUS,MARISAT-ATL
MCSAT-2 MEO-2,MCSAT-2 MEO
MEASAT-1,MEASAT-IK 91.5E
MEASAT-13.4E,MEASAT-18E
MEASAT-4B,MEASAT-78.5E-A
MEASAT-87E-A,MEASAT-86E-A
MEASAT-ROUTE-2C,MEASAT-SA3A
MEASAT-SA3B,MEASAT-ROUTE-2B
MISR,PROMETHEUS-B2
MM 008W,MM 012W
MM 10.25W,MM 006W
MM 55.2W,MM 060W
MM 74.75W,MM2 80W
MOHAMMED VI - AB,MN35-13
MONASAT-2E,MONASAT-0E
MORELOS 2-R,MORELOS 2
MSG-3.5E,MTG-3.5E
NORBIRD-19.6E,NORBIRD-1C
NORBIRD-32.5E,NORBIRD-1D
NORBIRD-38.5E,NORBIRD-1F
NORBIRD-41E,NORBIRD-1E
N-SAT-120,N-SAT-118E
N-SAT-143.72E,N-SAT-143.3E
N-SAT-72E,N-SAT-76E
N-SAT-75E,N-SAT-81E
N-SAT-82E,N-SAT-80E
N-SAT-93E,N-SAT-90E
N-SAT-A-114.9W,N-SAT-A-119W
N-SAT-A-28.5E,N-SAT-A-29.5E
N-SAT-A-81W,N-SAT-A-87W
N-SAT-A-8W,N-SAT-A-6.5W
N-SAT-Y13-110W,N-SAT-Y13-108W
N-SAT-Y13-150.5E,N-SAT-Y13-150E
N-SAT-Y13-26W,N-SAT-Y13-24W
N-SAT-Y13-82E,N-SAT-Y13-78E
N-SAT-Y15-110E,N-SAT-Y15-108E
N-SAT-Y15-110E,JMCS-Y15-110E
N-SAT-Y15-124E,N-SAT-Y15-120E
N-SAT-Y15-127W,N-SAT-Y15-126W
N-SAT-Y15-128E,N-SAT-Y15-126E
N-SAT-Y15-136E,N-SAT-Y15-138E
N-SAT-Y15-144E,JMCS-Y15-143E
N-SAT-Y15-154E,N-SAT-Y15-156E
N-SAT-Y15-158E,N-SAT-Y15-162E
N-SAT-Y15-158E,JMCS-Y15-158E
N-SAT-Y15-162E,N-SAT-Y15-168E
N-SAT-Y15-162E,JMCS-Y15-162E
N-SAT-Y15-82E,N-SAT-Y15-84E
N-SAT-Y15-93E,N-SAT-Y15-96E
N-SAT-Y15-93E,JMCS-Y15-93E
NSS-44,NSS-145W
NSS-45,NSS-90W
NSS-46,NSS-60W
NSS-47,NSS-27.5W
NSS-48,NSS-21.5W
NSS-49,NSS-38E
NSS-50,NSS-80E
NSS-51,NSS-141.5E
NSS-52,NSS-75.5W
NSS-53,NSS-2E
NSS-54,NSS-39E
NSS-55,NSS-51E
NUSANTARA-H1-A,PALAPA-815
OBSIDIAN-1,AGRANI-1
OBSIDIAN-1A,AGRANI-1A
OBSIDIAN-2,AGRANI-2
OBSIDIAN-2A,AGRANI-2A
OBSIDIAN-3A,AGRANI-3A
ODYSSEY-127W,ODYSSEY-125W
ONETEL-113W,SUPREMESAT-113W
PACIFISAT-116.1E,PACIFISAT-113.6E
PACIFISAT-16W,PACIFISAT-12W
PACIFISAT-174.1E,PACIFISAT-176.1E
PAKSAT-1,PAKSAT-A
PAKSAT-2,PAKSAT-B
PALAPA PAC-3 C,PALAPA PAC-3 CKU
PAS-ENDEAVOUR-115W,PAS-ENDEAVOUR-110W
PAS-ENDEAVOUR-115WKA,PAS-ENDEAVOUR-110WKA
PAS-ENDEAVOUR-166EKA,PAS-ENDEAVOUR-166E
PESSE-11E-KA,PESSE-9E-KA
PESSE-137E-KA,PESSE1-137E-KA
PESSE-17E-KA,PESSE1-17E-KA
PESSE-20.5E-KA,PESSE1-21E-KA
P-P-SAT-1,NAHUEL-F
QATARSAT-G4-38.5E,QATARSAT-G4-38E
RAADSAT,MYSAT-2C
RADIOSAT-5,RADIOSAT
RASCOM-A,RASCOM-42.5E
RASCOM-A,RASCOM-EC-42.5E
RASCOM-A,RASCOM-KU-42.5E
RASCOM-B,RASCOM-EC-37.5E
RASCOM-B,RASCOM-37.5E
RASCOM-B,RASCOM-EC
RASCOM-B,RASCOM-KU-37.5E
RASCOM-C,RASCOM-EC
RASCOM-C,RASCOM-KU-5.5E
RASCOM-C,RASCOM-5.5E
RASCOM-C,RASCOM-EC-5.5E
SABS-1,SABS
SARIT-19W,SARIT
SATCOM-5,SATCOM-4
SE-6-108.5E,SE-6-104E
SE-6-147E,SE-6-144E
SE-6-147W,SE-6-143W
SE-6-17.5W,SE-6-16W
SE-6-175W,SE-6-179E
SE-6-21.5E,SE-6-24E
SE-6-57W,SE-6-55W
SE-6-58E,SE-6-63E
SE-6-86E,SE-6-92E
SE-6-HEO-1,SE-6-HEO
SE-6-HEO-1A,SE-6-LEO
SECOMSAT B29E (KA),SECOMSAT B29E
SECOMSAT-59W,SECOMSAT-57W
SE-KA-174W,SE-KA-173W
SE-KA-178W,SE-KA-176W
SE-KA-18W,SE-KA-20W
SE-KA-20W,SE-KA-17W
SE-KA-28W,SE-KA-23W
SE-KA-55W,SE-KA-53W
SE-KA-56.5E,SE-KA-57E
SE-KA-61.5E,SE-KA-59E
SE-KA-63W,SE-KA-62W
SE-KA-64E,SE-KA-61E
SE-KA-68.5E,SE-KA-65E
SE-KA-72E,SE-KA-71E
SE-KA-76.5E,SE-KA-79E
SE-KA-83.5E,SE-KA-83E
SE-KA-87.5E,SE-KA-87E
SE-KA-93E,SE-KA-91E
SHAHEEN SAT,SAUDISAT-4
SICH2,SITCH
SICRAL-4-37E,SICRAL-4-39E
SIMON BOLIVAR 1,CONDOR-1
SIMON BOLIVAR-A,CONDOR-A
SIMON BOLIVAR-B,CONDOR-B
SIMON BOLIVAR-C,CONDOR-C
SIRIUS-5E-2,SIRIUS-5E-4
SITCH-1-M,SICH1-M
SMO-GEO-7A-C,GALILEO-NAV-2004
SOLIDARIDAD 2M,SOLIDARIDAD M2
SOLIDARIDAD-1,MORELOS 3
SOLIDARIDAD-2,MORELOS 1
SPACE STN FREEDOM,INTNL SPACE STN ACS
SPACE STN FREEDOM,INTNL SPACE STN SGS
SPACELOOP,SPACELOOP-1B
SPACENET-3,ADV. WESTAR
S-SAT-135E,S-SAT-136E
S-SAT-137E,S-SAT-141E
S-SAT-146.5E,S-SAT-146E
SSBT B3,SST-1
SW1FT-VISION,SWIATOWID 2
THAICOM-A1,THAICOM-1
THAICOM-A2,THAICOM-2
THAICOM-A3,THAICOM-3
THAICOM-A4,THAICOM-4
THAICOM-AK1,THAICOM-1
TONGASAT C1/C1-R,TONGASAT C-1
TONGASAT C1/C1-R,TONGASAT C-1-R
TURKSAT-23W-A,TURKSAT-19W-A
TURKSAT-31E-D,TURKSAT-31.5E-D
TURKSAT-EUX25,TURKSAT-AHU25
TURKSAT-EUX31,TURKSAT-AHU31
TURKSAT-EUX37,TURKSAT-AHU37
TURKSAT-EUX42,TURKSAT-AHU42
TURKSAT-EUX50,TURKSAT-AHU50
TURKSAT-EUX56,TURKSAT-AHU56
TURKSAT-EUX61,TURKSAT-AHU61
TURKSAT-EUX72,TURKSAT-AHU72
UKJKSAT-1,INMARSAT-S2
UKRSAT-KA-38.2E,UKRASAT-KA-38.2E
US SATCOM 2-R,US SATCOM-5
USAFAFALCONSAT,FALCONSAT-6
USAKA-L1,USAMEO-5
USASAT-13F,PANAMSAT
USASAT-13F,PAS-1
USASAT-13I-1,PANAMSAT
USASAT-13I-1,PAS-1
USASAT-25D,USASAT-26D
USASAT-3C,TELSTAR-3B
USASAT-66C,USASAT-55C
USASAT-NGSO-4,USASAT NGSO-4
USOBO-10,USOBO-1
VENESAT-1,URUSAT-3
VIDEOSAT-10-C,GEOSAT C 1E
VIDEOSAT-5-C-A,TELECOM-3D
VIDEOSAT-5-KU-A,VIDEOSAT-5-KA
VIDEOSAT-6-KU-A,VIDEOSAT-6-KA
VIDEOSAT-8-C-A,TELECOM-3C
VIDEOSAT-8-KA-A,VIDEOSAT-8
VIDEOSAT-8-KU-A,VIDEOSAT-8
VIDEOSAT-8-KU-B,TELECOM-2C
VIDEOSAT-8-KU-C,VIDEOSAT-8
VIDEOSAT-8-KU-D,VIDEOSAT-8
VIDEOSAT-9-C,GEOSAT C 1W
VNSAT-112.5E,VNSAT-110E
YAHSAT-57E,YAHSAT-58E
YAHSAT-EHF-33E,YAHSAT-EHF-30E
YAHSAT-EHF-50.5E,YAHSAT-EHF-50E
YAHSAT-G5-28W,YAHSAT-G5-25W
YAHSAT-G5-43W,YAHSAT-G5-40W
YAHSAT-G5-66E,YAHSAT-G5-65E
YAHSAT-G6-17.5W,YAHSAT-G6-15W
YAHSAT-KA1-52.5E,YAHSAT-KA-57E
YAHSAT-KA-17.5W,YAHSAT-KA-15W
YAHSAT-KA-33E,YAHSAT-KA-30E
YAHSAT-KA-47.5E,YAHSAT-KA-52.5E
YAHSAT-KA-50.5E,YAHSAT-KA-46E
YAHSAT-N-25.5E,YAHSAT-N-25E
YAHSAT-N-33W,YAHSAT-N-30W
YAHSAT-N-45W,YAHSAT-N-40W
YAHSAT-N-46E,YAHSAT-N-45E
YAHSAT-N-8E,YAHSAT-N-5E
